X,Y,START_YR,END_YR,S_PER,E_PER,S_DAY,E_DAY,Flow_m3d
478498,2156819,1984,1985,1,2,0,31,-3638
478008,2153563,1984,1985,1,2,0,31,-3019
482692,2154553,1984,1985,1,2,0,31,-2365
479219,2153704,1984,1985,1,2,0,31,-1049
480744,2154714,1984,1985,1,2,0,31,-5148
480901,2152320,1984,1985,1,2,0,31,-2548
482973,2152823,1984,1985,1,2,0,31,-5878
480463,2157220,1984,1985,1,2,0,31,-2414
482157,2152446,1984,1985,1,2,0,31,-3302
480945,2151587,1984,1985,1,2,0,31,-3736
482650,2152058,1984,1985,1,2,0,31,-3674
481957,2152026,1984,1985,1,2,0,31,-5395
482283,2154851,1984,1985,1,2,0,31,-973
482304,2153389,1984,1985,1,2,0,31,-1630
479198,2154207,1984,1985,1,2,0,31,-2250
478144,2155925,1984,1985,1,2,0,31,-3148
483605,2152928,1984,1985,1,2,0,31,-3779
478144,2155181,1984,1985,1,2,0,31,-4515
478895,2155313,1984,1985,1,2,0,31,-6559
471527,2154972,1984,1985,1,2,0,31,-2268
478946,2154626,1984,1985,1,2,0,31,-1726
479995,2155926,1984,1985,1,2,0,31,-1392
478781,2155913,1984,1985,1,2,0,31,-2969
478540,2153210,1984,1985,1,2,0,31,-4567
478126,2154207,1984,1985,1,2,0,31,-1795
477447,2154531,1984,1985,1,2,0,31,-2455
484108,2153620,1984,1985,1,2,0,31,-4013
479576,2155276,1984,1985,1,2,0,31,-1173
484606,2150489,1984,1985,1,2,0,31,-259
487773,2146810,1984,1985,1,2,0,31,-1812
481862,2140960,1984,1985,1,2,0,31,-1476
483445,2136071,1984,1985,1,2,0,31,-2151
483553,2150442,1984,1985,1,2,0,31,-1888
480571,2145040,1984,1985,1,2,0,31,-3021
485190,2144841,1984,1985,1,2,0,31,-2848
485124,2145120,1984,1985,1,2,0,31,-3927
485377,2141715,1984,1985,1,2,0,31,-2039
485104,2145574,1984,1985,1,2,0,31,-617
479176,2139108,1984,1985,1,2,0,31,-1376
483287,2146238,1984,1985,1,2,0,31,-2718
480917,2139244,1984,1985,1,2,0,31,-2313
480411,2143138,1984,1985,1,2,0,31,-3349
481716,2140255,1984,1985,1,2,0,31,-1737
488461,2146452,1984,1985,1,2,0,31,-1543
489467,2146172,1984,1985,1,2,0,31,-1333
480957,2145692,1984,1985,1,2,0,31,-1632
483850,2140451,1984,1985,1,2,0,31,-807
478852,2148058,1984,1985,1,2,0,31,-2718
480065,2145785,1984,1985,1,2,0,31,-1551
478706,2148642,1984,1985,1,2,0,31,-4466
485226,2139758,1984,1985,1,2,0,31,-6206
483260,2139989,1984,1985,1,2,0,31,-2894
480690,2137954,1984,1985,1,2,0,31,-831
487986,2144947,1984,1985,1,2,0,31,-2067
480327,2148642,1984,1985,1,2,0,31,-3613
484551,2144735,1984,1985,1,2,0,31,-3023
485761,2140779,1984,1985,1,2,0,31,-3096
479959,2146530,1984,1985,1,2,0,31,-1435
480757,2138752,1984,1985,1,2,0,31,-2584
478175,2149700,1984,1985,1,2,0,31,-948
487547,2143777,1984,1985,1,2,0,31,-4078
479963,2138791,1984,1985,1,2,0,31,-3172
479233,2137630,1984,1985,1,2,0,31,-2567
479590,2136089,1984,1985,1,2,0,31,-2167
477965,2135930,1984,1985,1,2,0,31,-1496
476896,2135388,1984,1985,1,2,0,31,-4480
477155,2135188,1984,1985,1,2,0,31,-1535
481303,2145227,1984,1985,1,2,0,31,-4263
480823,2144109,1984,1985,1,2,0,31,-2762
480797,2141915,1984,1985,1,2,0,31,-4024
483898,2137741,1984,1985,1,2,0,31,-2444
483034,2142593,1984,1985,1,2,0,31,-2190
478689,2150496,1984,1985,1,2,0,31,-4754
483778,2138641,1984,1985,1,2,0,31,-4455
481481,2149520,1984,1985,1,2,0,31,-3549
480760,2150404,1984,1985,1,2,0,31,-1722
480221,2151033,1984,1985,1,2,0,31,-1805
480664,2144482,1984,1985,1,2,0,31,-3323
485070,2143994,1984,1985,1,2,0,31,-2372
480622,2143758,1984,1985,1,2,0,31,-2233
485274,2140695,1984,1985,1,2,0,31,-4703
485903,2144382,1984,1985,1,2,0,31,-4750
479642,2147289,1984,1985,1,2,0,31,-3221
485550,2142726,1984,1985,1,2,0,31,-2039
485111,2142220,1984,1985,1,2,0,31,-4380
483779,2141901,1984,1985,1,2,0,31,-3897
483060,2143897,1984,1985,1,2,0,31,-948
482687,2138340,1984,1985,1,2,0,31,-4135
481901,2135103,1984,1985,1,2,0,31,-4169
477073,2150067,1984,1985,1,2,0,31,-1876
484686,2140946,1984,1985,1,2,0,31,-2154
481168,2151220,1984,1985,1,2,0,31,-760
484258,2143551,1984,1985,1,2,0,31,-7319
482187,2138640,1984,1985,1,2,0,31,-1964
484853,2136072,1984,1985,1,2,0,31,-1661
481404,2150143,1984,1985,1,2,0,31,-2039
481648,2151031,1984,1985,1,2,0,31,-5664
478238,2150738,1984,1985,1,2,0,31,-2870
477902,2150276,1984,1985,1,2,0,31,-2483
487813,2142061,1984,1985,1,2,0,31,-1133
487121,2145200,1984,1985,1,2,0,31,-1265
480791,2133270,1984,1985,1,2,0,31,-3359
485843,2150447,1984,1985,1,2,0,31,-2652
498446,2140032,1984,1985,1,2,0,31,-2750
480210,2151387,1984,1985,1,2,0,31,-5361
478906,2138404,1984,1985,1,2,0,31,-5967
487162,2141990,1984,1985,1,2,0,31,-4833
480489,2134541,1984,1985,1,2,0,31,-4309
485383,2135593,1984,1985,1,2,0,31,-1155
485353,2136042,1984,1985,1,2,0,31,-5459
489804,2135343,1984,1985,1,2,0,31,-2613
480015,2134312,1984,1985,1,2,0,31,-5910
479873,2134178,1984,1985,1,2,0,31,-4555
477696,2134789,1984,1985,1,2,0,31,-3266
482128,2135810,1984,1985,1,2,0,31,-2689
483445,2136059,1984,1985,1,2,0,31,-6705
482587,2134705,1984,1985,1,2,0,31,-3011
483587,2135232,1984,1985,1,2,0,31,-5546
