"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.25305786133E+03   2.20217407227E+03  p1012_1     
   2.31879565430E+03   2.24794995117E+03  p1039_1     
   2.25516772461E+03   2.20098510742E+03  p1078_1     
   2.25479663086E+03   2.20235693359E+03  p1262_1     
   2.26120312500E+03   2.19427807617E+03  p1327_1     
   2.26807617188E+03   2.17943188477E+03  p1473_1     
   2.24910717773E+03   2.21714111328E+03  p1479_1     
   2.26227514648E+03   2.19242089844E+03  p1497_1     
   2.25416748047E+03   2.22945703125E+03  p160_1      
   2.26224584961E+03   2.16202099609E+03  p1619_1     
   2.25542944336E+03   2.19664404297E+03  p1646_1     
   2.25475878906E+03   2.21102587891E+03  p165_1      
   2.25239282227E+03   2.20764111328E+03  p1721_1     
   2.26102905273E+03   2.18752905273E+03  p1727_1     
   2.25392944336E+03   2.20058300781E+03  p1757_1     
   2.25718212891E+03   2.20186010742E+03  p1857_1     
   2.25876074219E+03   2.19558007812E+03  p1875_1     
   2.25013061523E+03   2.20233105469E+03  p1882_1     
   2.25346850586E+03   2.20255908203E+03  p1903_1     
   2.25478222656E+03   2.19562890625E+03  p1911_1     
   2.25794335938E+03   2.19290087891E+03  p1916_1     
   2.26118066406E+03   2.20920190430E+03  p1963_1     
   2.25845434570E+03   2.19494311523E+03  p1969_1     
   2.26630126953E+03   2.18386303711E+03  p1971_1     
   2.25185205078E+03   2.19215209961E+03  p1978_1     
   2.25730249023E+03   2.19427490234E+03  p1981_1     
   2.26476220703E+03   2.22685791016E+03  p2025_1     
   2.25468017578E+03   2.19179101562E+03  p2038_1     
   2.25569140625E+03   2.20040795898E+03  p2075_1     
   2.25028491211E+03   2.19985205078E+03  p2106_1     
   2.25509277344E+03   2.19930908203E+03  p2161_1     
   2.25797265625E+03   2.19947412109E+03  p2212_1     
   2.25823632812E+03   2.18606201172E+03  p2213_1     
   2.25929052734E+03   2.21999291992E+03  p2232_1     
   2.26730517578E+03   2.19146289062E+03  p2233_1     
   2.25475756836E+03   2.20030493164E+03  p2259_1     
   2.25625170898E+03   2.19879809570E+03  p2263_1     
   2.26730517578E+03   2.19246997070E+03  p2303_1     
   2.25475756836E+03   2.20592602539E+03  p2305_1     
   2.25625170898E+03   2.21281396484E+03  p2324_1     
   2.25187475586E+03   2.19841601562E+03  p2329_1     
   2.25894433594E+03   2.20012011719E+03  p2349_1     
   2.25982983398E+03   2.20204003906E+03  p2360_1     
   2.25254418945E+03   2.20471508789E+03  p2367_1     
   2.26466894531E+03   2.19287402344E+03  p2372_1     
   2.24962158203E+03   2.21022705078E+03  p2380_1     
   2.25849560547E+03   2.20333911133E+03  p2394_1     
   2.25571777344E+03   2.20351708984E+03  p2396_1     
   2.25631225586E+03   2.20888305664E+03  p2433_1     
   2.25674194336E+03   2.19931298828E+03  p2434_1     
   2.25693896484E+03   2.20667895508E+03  p2435_1     
   2.25613623047E+03   2.19616601562E+03  p2514_1     
   2.51070312500E+03   2.23147412109E+03  p2523_1     
   2.31790234375E+03   2.22379711914E+03  p2544_1     
   2.25431396484E+03   2.19845190430E+03  p2580_1     
   2.24727807617E+03   2.21350805664E+03  p2624_1     
   2.26724780273E+03   2.18228100586E+03  p2632_1     
   2.25060278320E+03   2.19877392578E+03  p2637_1     
   2.25773754883E+03   2.20038305664E+03  p267_1      
   2.25047778320E+03   2.20248999023E+03  p2679_1     
   2.25721948242E+03   2.19223095703E+03  p2680_1     
   2.25047778320E+03   2.20016503906E+03  p2681_1     
   2.25846606445E+03   2.18744702148E+03  p269_1      
   2.26042065430E+03   2.18628491211E+03  p287_1      
   2.26042065430E+03   2.20311791992E+03  p416_1      
   2.26042065430E+03   2.20717504883E+03  p480_1      
   2.25261840820E+03   2.20294604492E+03  p531_1      
   2.25696362305E+03   2.18877905273E+03  p689_1      
   2.25640332031E+03   2.20147705078E+03  p816_1      
   2.25894824219E+03   2.20486499023E+03  p857_1      
   2.24798706055E+03   2.20067993164E+03  p942_1      
   2.26030346680E+03   2.19489306641E+03  s188_1      
   2.25575683594E+03   2.19783300781E+03  sN_1_1      
   2.25282470703E+03   2.19733300781E+03  sPer_18_1   
   2.25600903320E+03   2.17811596680E+03  sS_9_1      
   2.25971923828E+03   2.21903002930E+03  sSC_2_1     
   2.25815405273E+03   2.20510107422E+03  sSC_3_1     
   2.24290209961E+03   2.21933496094E+03  sSC_6_1     
   2.25345605469E+03   2.22149096680E+03  sSL_15_1    
   2.25380297852E+03   2.16037304688E+03  sSL_16_1    
   2.25090673828E+03   2.21991503906E+03  sSL_2_1     
   2.24965307617E+03   2.21743798828E+03  sTec_10_1   
   2.30015942383E+03   2.22044995117E+03  t110_B_1    
   2.24567236328E+03   2.22085009766E+03  t119_B_1    
   2.25246923828E+03   2.22111010742E+03  t1528_V_1   
   2.25342431641E+03   2.23067993164E+03  t1541_1     
   2.25634423828E+03   2.22641992188E+03  t1549V_1    
   2.25151635742E+03   2.21896997070E+03  t1609_1     
   2.25432543945E+03   2.20845996094E+03  t1691_1     
   2.25282250977E+03   2.21743994141E+03  t1767_1     
   2.25593823242E+03   2.22504003906E+03  t1934V_1    
   2.27111108398E+03   2.23353002930E+03  t1944_1     
   2.25464404297E+03   2.21701000977E+03  t196A_1     
   2.25014941406E+03   2.25562988281E+03  t2146_1     
   2.25110424805E+03   2.24350000000E+03  t2147_1     
   2.24962426758E+03   2.22319995117E+03  t2235_1     
   2.30449731445E+03   2.22385009766E+03  t245_1      
   2.25866528320E+03   2.22422998047E+03  t45_AV_1    
   2.28763818359E+03   2.22343994141E+03  t46_A_1     
   2.32405004883E+03   2.28110009766E+03  t553_1      
   2.24626000977E+03   2.21384008789E+03  t58_A_1     
   2.25301098633E+03   2.21979003906E+03  t611_1      
   2.25266552734E+03   2.24841992188E+03  t79_B_1     
   2.25066601562E+03   2.21673999023E+03  t82_B_1     
   2.25021704102E+03   2.22521997070E+03  t83_B_1     
   2.25456494141E+03   2.22423999023E+03  t94_B_1     
   2.24849926758E+03   2.20621997070E+03  t98_B_1     
   2.25865014648E+03   2.22438989258E+03  t99_B_1     
   2.24559716797E+03   2.22751000977E+03  tB_155_1    
   2.24962036133E+03   2.21925000000E+03  tB_273_1    
   2.43946899414E+03   2.25151000977E+03  tB_426_1    
   2.30034936523E+03   2.22178002930E+03  tB_502_1    
   2.25052636719E+03   2.22030004883E+03  tB_693_1    
   2.35486352539E+03   2.22636010742E+03  tBO_37V_1   
   2.24528027344E+03   2.21895996094E+03  tC_771_1    
   2.25505590820E+03   2.20616992188E+03  tD_658_1    
   2.25742529297E+03   2.21820996094E+03  tD_675_1    
   2.35990673828E+03   2.28750000000E+03  tDO_35_1    
   2.45627832031E+03   2.30331005859E+03  tE_133_1    
   2.24723779297E+03   2.22531005859E+03  tE_708_1    
   2.26105737305E+03   2.21881005859E+03  tE_866_1    
   2.24616796875E+03   2.21989990234E+03  tEA_47_1    
   2.24714746094E+03   2.22037988281E+03  tEA_69_1    
   2.26071264648E+03   2.23260009766E+03  tEA_82_1    
   2.24732714844E+03   2.21816992188E+03  tEK_62_1    
   2.24743945312E+03   2.22858007812E+03  tEL_87V_1   
   2.24623095703E+03   2.21396997070E+03  tEN_97_1    
   2.24866796875E+03   2.21917993164E+03  tF_107_1    
   2.24887817383E+03   2.21944995117E+03  tF_131_1    
   2.24925048828E+03   2.21955004883E+03  tF_242_1    
   2.24896386719E+03   2.21933007812E+03  tF_626_1    
   2.25009667969E+03   2.19806005859E+03  tF_992_1    
